group,speed_bin,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
TSC_het,fast,62,62,3142,5.038850113239772,0.06989952944087291,4.983201361624861,0.7231603539507911,0.004783400696089609,0.7202482091074215,1.6200734052503212,0.013742113478884274,1.6210803129859488,1.6774945668311105,0.008534999513283317,1.673120099234135,40.0,0.0,40.0,1.0,0.0,1.0,240216.92315795858,149759.9514199108,55766.67682673018,0.8636338622190208,0.002262519375403379,0.8627080985472624,0.09305470330594606,0.008007372961783419,0.08103334048374097,1499.7195717300788,851.9758858801739,419.14349977687334,-1.5941829094165547,0.027377841759460255,-1.5675642309093867,66876.66064277093,42560.29060572259,15585.091129071907
TSC_het,medium,62,62,3102,4.125181728159751,0.05097276286665458,4.107472331831211,0.7161159959450806,0.006053440879192763,0.7145160577167853,1.6331791471244734,0.014164239232896277,1.63738812185832,1.7412381003248518,0.013263424632721591,1.7255503632228972,40.0,0.0,40.0,1.0,0.0,1.0,102458.9453154333,52119.53440491365,40516.74592436482,0.8659061938076555,0.0021683036763126074,0.8664561145658668,0.12626498651244608,0.008277427156467369,0.10910149148133391,802.8159380975917,471.86355384325765,281.29674977623716,-1.4917898919467134,0.023373384619218333,-1.4725213993141095,27999.10641283229,14019.396953739979,11935.823687016506
TSC_hom,medium,35,35,2226,3.5657372836935277,0.06321300848374665,3.5608698192515638,0.7137773355257301,0.005469343029573664,0.7253672863457791,1.5929234965246757,0.01774031830924565,1.616606239774999,1.891169416714399,0.011804583182576133,1.8905018783946914,40.0,0.0,40.0,1.0,0.0,1.0,32111.471675246703,2485.1698482114184,28378.248081643076,0.8640471960820684,0.0026901364914907284,0.862440707201385,0.1535691413627659,0.008144821761240447,0.1361147620480474,189.3942143686832,10.790521028498787,186.21545751766527,-1.377976233987135,0.014287547581256313,-1.3909449261833398,9271.487007909413,724.7987185990878,8503.63252978003
TSC_hom,fast,35,35,2254,4.260658616491036,0.09758574133303603,4.22774525049254,0.724166723278587,0.005507969871797209,0.7197784265705434,1.610729429354693,0.016325763303296444,1.5962306036694065,1.8571760863049767,0.014275937189059472,1.846027312550203,40.0,0.0,40.0,1.0,0.0,1.0,48627.941850623356,6428.291129810319,36362.97014617551,0.8629064014753948,0.0027690633523514622,0.8622083310880042,0.12096778982617923,0.008115435451740122,0.1187222761332371,314.8766635817551,33.43085018478435,228.09166142547426,-1.4688484439003964,0.0207036093619556,-1.4640902941701666,13900.034552850018,1882.7018292408097,10126.659113755666
TSC_hom,slow,35,35,2241,3.034717926274187,0.03866928292923204,3.03878600790471,0.6973471730620744,0.007239017007446338,0.7039345471808535,1.571319253761784,0.023346923461840023,1.5965317714067644,1.956613262260704,0.012906802667159335,1.9483827786301093,40.0,0.0,40.0,1.0,0.0,1.0,16492.807815065564,1219.3021213775662,15812.63848229247,0.8574868054804609,0.002818119129681346,0.8579855214943242,0.2671946032494503,0.011897837819908458,0.24796512749618535,89.26048299857558,5.6079508994485066,85.042861722377,-1.2249384239862926,0.01476491414161936,-1.2327046765688066,4765.415130897871,341.5262706838326,4690.876967812255
TSC_neg,fast,65,65,3498,4.988760475560125,0.08968564317086851,5.015395668245552,0.7273661683425552,0.005284293211132062,0.7368528485220345,1.6139245408669676,0.0173347930543181,1.625295572841398,1.6925784776618376,0.008819217753742717,1.681076994766888,40.0,0.0,40.0,1.0,0.0,1.0,76052.3915558239,6306.0984268808415,66145.5134359203,0.8628241062431625,0.002103574822953414,0.864280891289671,0.08290271464836992,0.004775215308925328,0.08008020638313139,599.3209852483785,61.779708595158226,461.0420109998648,-1.5822314843574077,0.018086212210351508,-1.5929277001422126,20755.625066526696,1773.7587787145656,18136.29975722726
TSC_neg,slow,65,65,3479,3.320985436783629,0.038020589977972044,3.278749113611854,0.7089331920044997,0.0055401414137755565,0.7177379723747029,1.6273298912547525,0.013574776420567635,1.6552125075724888,1.82029552091685,0.0126085970849012,1.8089900393085065,40.0,0.0,40.0,1.0,0.0,1.0,24846.89750861669,3223.342546579115,18454.109270342105,0.8633171447844098,0.0028087207040574064,0.8621463852716652,0.2139136168151971,0.009011754966325555,0.20372293557137203,143.55329462383162,9.001099329055108,131.89834399229727,-1.3313491960494601,0.012595295742992639,-1.3323564283652438,7026.1218867120615,956.5090114286817,5259.513912581407
TSC_neg,medium,65,65,3453,4.059565850334726,0.060527118924598285,4.072426247767327,0.7083668966459756,0.005877331119987322,0.7249638403439462,1.6074528142429136,0.013692562191330271,1.6019217448544112,1.7626857109367697,0.00989392270585188,1.7452286039811142,40.0,0.0,40.0,1.0,0.0,1.0,57403.6725352473,11215.581714373662,36086.606640331745,0.8644882639667627,0.0026999643417321396,0.8627662442706948,0.12342197669778482,0.007203414671464967,0.11401211809698147,431.25916473205285,93.17670846831996,267.0246950787145,-1.4806141182082528,0.019285700961960327,-1.4724069449289932,16491.56934922281,3691.581013857194,9995.182693748768
new_preds,fast,374,374,21716,5.227688446028233,0.026195727614058608,5.168449143437122,0.7161833512270835,0.0020848760182413076,0.7172007267837921,1.6043461862278074,0.005511907630447305,1.6151680644793485,1.682379969327254,0.004414327537109877,1.663951021894304,40.0,0.0,40.0,1.0,0.0,1.0,68738.14984953868,2538.1915035057677,60019.895964315845,0.8607542137139058,0.0007404350377570299,0.861274284126098,0.07911700284988889,0.0017798101837998037,0.07134147558007402,585.3727398715104,19.401871847309224,519.1157767851702,-1.5865929681237143,0.006406771215900262,-1.5951895039165045,19186.720692696857,712.2693855692675,16657.14660152841
new_preds,medium,374,374,21475,4.227742928024409,0.018538869604670098,4.176667259771465,0.7156203251418501,0.0019864404653996124,0.7206727602517602,1.6206403544107642,0.005019524367442224,1.6254402144442557,1.7286654415500313,0.0038273307483442207,1.719853229726561,40.0,0.0,40.0,1.0,0.0,1.0,55990.76355589738,1851.4712638639444,47946.87645162651,0.8651704526413071,0.0007806456692429765,0.8635326130824015,0.09999087097024087,0.0021724568882910806,0.09216217231433102,419.44728824117146,12.60881153783349,361.10345573329187,-1.5379406944857945,0.005964039170084558,-1.539434099469997,15584.59818364271,516.102140253628,13272.938164070303
new_preds,slow,374,374,21586,3.422799361497184,0.011920014451092018,3.394072027940376,0.7062298966690267,0.0021633984516920063,0.7109860553832639,1.6313694103729346,0.005322044175891079,1.638178885197426,1.8205692264777242,0.006106951997326537,1.8004999088014346,40.0,0.0,40.0,1.0,0.0,1.0,27832.024235695928,802.3435668908216,24167.161886895497,0.867832518174346,0.0008337698704243008,0.8677181741408869,0.17896254320894728,0.0030566652541196243,0.17638794591216694,181.3695885537986,4.654486557753772,157.4345164310377,-1.383268036798354,0.005233689815281243,-1.3796285542650821,7773.837424584897,219.6115374786717,6895.26028054878
