example,group,subject,speed_bin,n_train,test_frames,n_delays,rank_requested,rank_fit,stabilize,smooth_window,nrmse,rmse,amplitude_ratio,tail_amplitude_ratio,horizon,stride_frequency,spectral_radius
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,true,0,0.933910869315864,0.25615833382142383,0.3496937787851754,0.052479644727611297,78,3.859649122807017,0.9609741844151811
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,true,7,0.9470360084079043,0.2551305127388543,0.28505550243265476,0.06463017480839445,78,3.859649122807017,0.9775248595415552
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,true,11,1.0502523020404704,0.2728126201127998,0.6861556468768231,0.5132969763127766,78,3.859649122807017,0.989924828376186
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,true,15,0.9244800725423793,0.22739647084082676,0.5419736815625454,0.32771544000796093,78,3.859649122807017,0.9868070220001862
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,true,21,0.924670671457929,0.20116959333385664,0.4523890141291937,0.2043607769482447,78,3.859649122807017,0.9880652325560509
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,false,0,0.9339108693158641,0.2561583338214239,0.3496937787851728,0.052479644727608916,78,3.859649122807017,0.9609741844151809
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,false,7,0.9470360084079062,0.25513051273885484,0.2850555024326527,0.06463017480839606,78,3.859649122807017,0.9775248595415549
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,false,11,1.0502523020405001,0.2728126201128075,0.6861556468768593,0.5132969763128483,78,3.859649122807017,0.9899248283761855
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,false,15,0.9244800725423787,0.22739647084082662,0.5419736815625306,0.3277154400079347,78,3.859649122807017,0.9868070220001862
1,Cntnap_neg,OFT-0691-00,medium,120,285,13,20,20,false,21,0.9246706714579266,0.20116959333385612,0.45238901412918714,0.2043607769482377,78,3.859649122807017,0.9880652325560516
