group,speed_bin,coordinate,forcing_mean,n_models
new_preds,fast,LFy-body,29.865291988427863,374
new_preds,fast,RFx-body,82.36646253625771,374
new_preds,fast,RFy-body,29.865291988427863,374
new_preds,fast,RHx-body,84.32305253765296,374
new_preds,fast,RHy-body,26.82617609076715,374
new_preds,fast,LHx-body,84.32305253765301,374
new_preds,fast,LHy-body,26.82617609076715,374
new_preds,medium,LFx-body,94.38406402188158,374
new_preds,medium,LFy-body,39.93574287617906,374
new_preds,medium,RFx-body,94.38406402188157,374
new_preds,medium,RFy-body,39.93574287617907,374
new_preds,medium,RHx-body,91.69570161181001,374
new_preds,medium,RHy-body,35.00606461131696,374
new_preds,medium,LHx-body,91.69570161181005,374
new_preds,medium,LHy-body,35.00606461131696,374
new_preds,slow,LFx-body,127.07780698821574,373
new_preds,slow,LFy-body,57.724410811182985,373
new_preds,slow,RFx-body,127.07780698821574,373
new_preds,slow,RFy-body,57.724410811182985,373
new_preds,slow,RHx-body,116.59123916199754,373
new_preds,slow,RHy-body,47.38402479914447,373
new_preds,slow,LHx-body,116.59123916199754,373
new_preds,slow,LHy-body,47.38402479914447,373
