group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,peak_stride_multiple,mean_log_gain,band_0p75_2x_log_gain
new_preds,OFT-0041-00,slow,1149,2.0923300560975266,1.6410408042578357,0.6235955056179775,1.7017317376777454,1.9210782858138271
new_preds,OFT-0041-00,medium,1150,2.311489059046525,4.502643754130866,1.5308988764044944,1.6227387023720186,1.8355662747361416
new_preds,OFT-0042-00,fast,1151,2.24841385400014,5.5755776976892095,1.4775280898876404,1.6334676606662744,1.9010560177148854
new_preds,OFT-0042-00,slow,1152,2.174390251965346,4.912759291270527,1.5842696629213484,1.6610612391248007,1.8934901312901304
new_preds,OFT-0042-00,medium,1153,2.27480980790237,5.237612820040524,1.5842696629213484,1.687910795451413,1.932804992193646
new_preds,OFT-0043-00,medium,1154,2.286778539156781,4.281809899787428,1.5842696629213484,1.7455745436002126,1.9141707625929982
new_preds,OFT-0043-00,fast,1155,2.370153070985567,4.477357848144365,1.4775280898876404,1.6513557084891086,1.8930881181267283
new_preds,OFT-0043-00,slow,1156,2.2887806921958673,3.9623765747361257,1.3174157303370786,1.7082144745378256,2.0073004726591166
new_preds,OFT-0044-00,fast,1157,2.278383699668043,5.184309087325054,1.4775280898876404,1.60231402365528,1.8206843245324327
new_preds,OFT-0044-00,medium,1158,2.4509712861265958,4.703040272607569,1.4775280898876404,1.664191168764434,1.8604999764778192
new_preds,OFT-0044-00,slow,1159,2.4795088344933776,4.502643754130866,1.5308988764044944,1.718323707568345,2.007057797916719
new_preds,OFT-0045-00,fast,1160,2.7057807157715206,4.569288389513109,1.3707865168539326,1.6657351783416874,1.8381474982678827
new_preds,OFT-0045-00,slow,1161,2.7144866628976536,3.962152572442341,1.3174157303370786,1.656235090609628,1.8672722563049862
new_preds,OFT-0045-00,medium,1162,2.296293957313701,4.194243496998615,1.5308988764044944,1.7552291958080164,1.9554773752684125
new_preds,OFT-0046-00,fast,1163,2.3602646458720136,4.76621964479884,1.4775280898876404,1.6447810850992541,1.8333176013283086
new_preds,OFT-0046-00,slow,1164,2.1558215116490413,3.51123595505618,1.2640449438202248,1.6722465724789826,1.9082386992603424
new_preds,OFT-0046-00,medium,1165,2.248450146988808,4.3456708526107075,1.4775280898876404,1.663029232897231,1.8721767581561104
new_preds,OFT-0047-00,medium,1166,2.288673596426361,4.92527544452929,1.6910112359550562,1.6392463215870117,1.835169337838105
