group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,mean_log_gain,band_3_7_log_gain
TSC_het,OFT-0397-00,slow,520,2.296342591266965,3.730337078651685,1.8112772367297554,1.968768774602595
TSC_het,OFT-0408-00,slow,521,3.0999795987645777,6.314606741573034,1.8379684861396783,2.09031927647917
TSC_het,OFT-0408-00,fast,522,2.503182284963731,3.9887640449438204,1.8172244354505602,1.9890414656458557
TSC_het,OFT-0408-00,medium,523,2.703002874400081,3.0842696629213484,1.9056412494156445,2.059214383150363
TSC_het,OFT-0409-00,fast,524,2.2337912187262674,4.634831460674158,1.7549653972677615,1.8963747322112325
TSC_het,OFT-0409-00,slow,525,2.3980822956209993,1.7921348314606742,1.8531093603278386,1.9047948832119141
TSC_het,OFT-0409-00,medium,526,2.402492184353607,4.634831460674158,1.7969971683391448,1.907645595554642
TSC_het,OFT-0413-00,fast,527,2.5540006391775227,4.764044943820225,1.7285045001677901,1.8839738863962647
TSC_het,OFT-0413-00,medium,528,2.347916176655332,4.376404494382022,1.7925491272091227,1.952701431746403
TSC_het,OFT-0413-00,slow,529,2.515409683689326,3.4719101123595504,1.8424318429121231,2.012327855575743
TSC_het,OFT-0459-00,slow,530,2.2733309677350397,3.601123595505618,1.722871473352211,1.8659144380035353
TSC_het,OFT-0459-00,fast,531,2.472384224708949,3.730337078651685,1.756999891686878,1.8968203476933359
TSC_het,OFT-0459-00,medium,532,2.429592477990463,3.9887640449438204,1.74756184968093,1.8414137698873918
TSC_het,OFT-0462-00,slow,533,2.320960837769775,3.4719101123595504,1.7831490248757793,1.9532478881591444
TSC_het,OFT-0462-00,fast,534,2.3714889103237407,4.893258426966292,1.7224554788905317,1.8124112303681408
TSC_het,OFT-0462-00,medium,535,2.3943756000190457,4.376404494382022,1.7976721451054718,1.975656925219358
TSC_het,OFT-0467-00,slow,536,2.4379387740258744,3.0842696629213484,1.8447876648573716,2.0235545940049353
TSC_het,OFT-0467-00,fast,537,2.4513651711514157,4.376404494382022,1.7544923525915048,1.8636714196649606
