group,speed_bin,metric,n_models,n_subjects,mean,sem
Cntnap_hom,fast,diagonal_peak_gain,37,37,0.5008052066058838,0.005894869842903741
Cntnap_hom,fast,diagonal_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,fast,diagonal_phase_selectivity,37,37,0.07907746459390122,0.003072405545942365
Cntnap_hom,fast,all_cross_mean_gain,37,37,0.17907805081715011,0.0028681908718443962
Cntnap_hom,fast,all_cross_peak_gain,37,37,0.500675365346933,0.005796940378755348
Cntnap_hom,fast,all_cross_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,fast,all_cross_phase_selectivity,37,37,0.07878601558507228,0.003106157597973211
Cntnap_hom,fast,self_to_cross_ratio,37,37,1.0053669011345818,0.0016577103699464359
Cntnap_hom,medium,same_mean_gain,37,37,0.1759906458364004,0.003501462032053248
Cntnap_hom,medium,same_peak_gain,37,37,0.4947476927347927,0.007704297238823516
Cntnap_hom,medium,same_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,medium,same_phase_selectivity,37,37,0.07874495509834081,0.0024796220747351863
Cntnap_hom,medium,fore_homologs_mean_gain,37,37,0.15624771759122286,0.0033718156037723696
Cntnap_hom,medium,fore_homologs_peak_gain,37,37,0.4946299230921505,0.009413303825543543
Cntnap_hom,medium,fore_homologs_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,medium,fore_homologs_phase_selectivity,37,37,0.08510572873726004,0.00358463748630296
Cntnap_hom,medium,hind_homologs_mean_gain,37,37,0.19573357408157793,0.006225540375644512
Cntnap_hom,medium,hind_homologs_peak_gain,37,37,0.4950072825378201,0.015532468501620524
Cntnap_hom,medium,hind_homologs_peak_lag_fraction,37,37,0.009459459459459469,0.0005405405405405409
Cntnap_hom,medium,hind_homologs_phase_selectivity,37,37,0.08180923763024296,0.004453636642218771
Cntnap_hom,medium,ipsilateral_mean_gain,37,37,0.17459188263469733,0.0033021899298688795
Cntnap_hom,medium,ipsilateral_peak_gain,37,37,0.49678046286708594,0.007181224468009217
Cntnap_hom,medium,ipsilateral_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,medium,ipsilateral_phase_selectivity,37,37,0.07903216062750235,0.0024235412011167864
Cntnap_hom,medium,diagonal_mean_gain,37,37,0.17459188263469735,0.0033021899298688803
Cntnap_hom,medium,diagonal_peak_gain,37,37,0.49678046286708594,0.007181224468009219
Cntnap_hom,medium,diagonal_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,medium,diagonal_phase_selectivity,37,37,0.07903216062750233,0.0024235412011167864
Cntnap_hom,medium,all_cross_mean_gain,37,37,0.17505813703526502,0.0033644948433117906
Cntnap_hom,medium,all_cross_peak_gain,37,37,0.4961028728229881,0.007337190671369753
Cntnap_hom,medium,all_cross_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,medium,all_cross_phase_selectivity,37,37,0.07892664571577859,0.002437672995279243
Cntnap_hom,medium,self_to_cross_ratio,37,37,1.0049166888036936,0.0014493442921090873
Cntnap_hom,slow,same_mean_gain,37,37,0.17534927324989683,0.0036804229658982603
Cntnap_hom,slow,same_peak_gain,37,37,0.48562010188565924,0.0077060470138031805
Cntnap_hom,slow,same_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,slow,same_phase_selectivity,37,37,0.09120806049216448,0.0043605345792815395
Cntnap_hom,slow,fore_homologs_mean_gain,37,37,0.15253975206519754,0.0040023603922030165
Cntnap_hom,slow,fore_homologs_peak_gain,37,37,0.4727282208388821,0.011456216383563627
Cntnap_hom,slow,fore_homologs_peak_lag_fraction,37,37,0.009459459459459469,0.0005405405405405409
Cntnap_hom,slow,fore_homologs_phase_selectivity,37,37,0.09740889116565322,0.0043797811339313895
Cntnap_hom,slow,hind_homologs_mean_gain,37,37,0.19815879443459605,0.0057523396733293675
Cntnap_hom,slow,hind_homologs_peak_gain,37,37,0.4995383443745973,0.013781489583999565
Cntnap_hom,slow,hind_homologs_peak_lag_fraction,37,37,0.009459459459459469,0.000540540540540541
Cntnap_hom,slow,hind_homologs_phase_selectivity,37,37,0.0928445360211502,0.00660150956483114
Cntnap_hom,slow,ipsilateral_mean_gain,37,37,0.174124912216375,0.0033414774835956295
Cntnap_hom,slow,ipsilateral_peak_gain,37,37,0.48641626087084316,0.0067956458905609925
Cntnap_hom,slow,ipsilateral_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,slow,ipsilateral_phase_selectivity,37,37,0.0915732911848071,0.004408369856140266
Cntnap_hom,slow,diagonal_mean_gain,37,37,0.174124912216375,0.00334147748359563
Cntnap_hom,slow,diagonal_peak_gain,37,37,0.48641626087084316,0.0067956458905609855
Cntnap_hom,slow,diagonal_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,slow,diagonal_phase_selectivity,37,37,0.0915732911848071,0.004408369856140267
Cntnap_hom,slow,all_cross_mean_gain,37,37,0.17453303256088226,0.003441050637134773
Cntnap_hom,slow,all_cross_peak_gain,37,37,0.4861508745424485,0.007017858195193486
Cntnap_hom,slow,all_cross_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,slow,all_cross_phase_selectivity,37,37,0.09145116963738927,0.004393061034217183
Cntnap_hom,slow,self_to_cross_ratio,37,37,1.0036729210287356,0.0034962547129331442
Cntnap_neg,medium,same_mean_gain,56,56,0.17391414957658866,0.0023904419410276712
Cntnap_neg,medium,same_peak_gain,56,56,0.4921860734711952,0.006250656271726354
Cntnap_neg,medium,same_peak_lag_fraction,56,56,0.010000000000000009,0.0
Cntnap_neg,medium,same_phase_selectivity,56,56,0.0732019367880252,0.0026696910026682325
Cntnap_neg,medium,fore_homologs_mean_gain,56,56,0.15421327559128797,0.002569568028297591
Cntnap_neg,medium,fore_homologs_peak_gain,56,56,0.47599361015758596,0.008560172832093716
Cntnap_neg,medium,fore_homologs_peak_lag_fraction,56,56,0.010000000000000009,0.0
Cntnap_neg,medium,fore_homologs_phase_selectivity,56,56,0.08951597382275799,0.0032718557812233258
Cntnap_neg,medium,hind_homologs_mean_gain,56,56,0.19361502356188942,0.003854165860454642
Cntnap_neg,medium,hind_homologs_peak_gain,56,56,0.5083785367848045,0.011797953277665293
Cntnap_neg,medium,hind_homologs_peak_lag_fraction,56,56,0.010000000000000009,0.0
Cntnap_neg,medium,hind_homologs_phase_selectivity,56,56,0.06656666661704688,0.003922577782247855
Cntnap_neg,medium,ipsilateral_mean_gain,56,56,0.1724527205176776,0.0023020517162677095
Cntnap_neg,medium,ipsilateral_peak_gain,56,56,0.491826593126949,0.005765339921617365
Cntnap_neg,medium,ipsilateral_peak_lag_fraction,56,56,0.010000000000000009,0.0
Cntnap_neg,medium,ipsilateral_phase_selectivity,56,56,0.07422246638180331,0.002620130616685569
Cntnap_neg,medium,diagonal_mean_gain,56,56,0.1724527205176776,0.0023020517162677095
