group,subject,speed_bin,model_index,mean_speed,frequency_multiple,forcing_frequency,same_mean_gain,same_peak_gain,same_peak_lag_fraction,same_phase_selectivity,fore_homologs_mean_gain,fore_homologs_peak_gain,fore_homologs_peak_lag_fraction,fore_homologs_phase_selectivity,hind_homologs_mean_gain,hind_homologs_peak_gain,hind_homologs_peak_lag_fraction,hind_homologs_phase_selectivity,ipsilateral_mean_gain,ipsilateral_peak_gain,ipsilateral_peak_lag_fraction,ipsilateral_phase_selectivity,diagonal_mean_gain,diagonal_peak_gain,diagonal_peak_lag_fraction,diagonal_phase_selectivity,all_cross_mean_gain,all_cross_peak_gain,all_cross_peak_lag_fraction,all_cross_phase_selectivity,self_to_cross_ratio
TSC_het,OFT-0532-00,medium,569,3.658833676627867,1.0,1.0,0.17490799807136304,0.4974477654961722,0.010000000000000009,0.09765501102274966,0.17088178193425255,0.5551820542234406,0.010000000000000009,0.042413572052778355,0.17893421420847355,0.43971347676890377,0.010000000000000009,0.15326698288694093,0.1750901865729052,0.4993178768475654,0.010000000000000009,0.09792039240952091,0.1750901865729052,0.49931787684756535,0.010000000000000009,0.0979203924095209,0.17502945707239118,0.49869450639710095,0.010000000000000009,0.09783193563398018,0.9993060653728824
TSC_het,OFT-0532-00,slow,570,3.014520914149488,1.0,1.0,0.19966685985610771,0.5120195132149828,0.010000000000000009,0.11236409077332543,0.17704282964738224,0.492123193066435,0.010000000000000009,0.12723592334904105,0.2222908900648331,0.5319158333635308,0.010000000000000009,0.10098816910236127,0.19815129478398225,0.5097330927151943,0.010000000000000009,0.1135574296294018,0.19815129478398225,0.5097330927151942,0.010000000000000009,0.11355742962940181,0.19865648314135737,0.5104952328817904,0.010000000000000009,0.11315762396496085,1.0050860495402578
TSC_het,OFT-0532-00,fast,571,4.384854170266598,1.0,1.0,0.15643463664981627,0.47006036775321036,0.010000000000000009,0.05889429567925171,0.17408546547060658,0.55052350463979,0.010000000000000009,0.05998232704802777,0.13878380782902608,0.38959723086663073,0.010000000000000009,0.06872287459471679,0.15782516624894904,0.4762103942698693,0.010000000000000009,0.05882329852477738,0.15782516624894904,0.47621039426986933,0.010000000000000009,0.05882329852477739,0.15736165638257144,0.4741603854309829,0.010000000000000009,0.058842097364556686,0.9941089859241096
TSC_het,OFT-0536-00,medium,572,4.193931589131561,1.0,1.0,0.20643215923072908,0.5462669949711647,0.010000000000000009,0.07796827793576318,0.23458036525846662,0.5488428749412335,0.010000000000000009,0.141982315720163,0.17828395320299145,0.5436911150010959,0.010000000000000009,0.04486078742118752,0.20749234205244776,0.5551651884333164,0.010000000000000009,0.08238465079013407,0.20749234205244776,0.5551651884333164,0.010000000000000009,0.08238465079013405,0.20713894777854153,0.5521991239459325,0.010000000000000009,0.08091752426450562,0.9965878529586425
TSC_het,OFT-0536-00,fast,573,5.29912247372033,1.0,1.0,0.15548662874187882,0.45374324124107457,0.010000000000000009,0.05983184205314945,0.15948094546347938,0.5510031400900746,0.010000000000000009,0.06619704145073207,0.15149231202027819,0.35648334239207463,0.010000000000000009,0.061339227672196454,0.15507873774826714,0.4534111443367352,0.010000000000000009,0.05983106874294559,0.1550787377482671,0.45341114433673524,0.010000000000000009,0.059831068742945526,0.15521470141280436,0.4535218433048483,0.010000000000000009,0.059829928991202465,1.001751943125228
TSC_het,OFT-0536-00,slow,574,3.3757998022574505,1.0,1.0,0.1557240814068612,0.43099164543913104,0.010000000000000009,0.11499863858143022,0.16342324207864736,0.5594384821955369,0.010000000000000009,0.09541236204647244,0.14802492073507506,0.3422927162978259,-0.010000000000000009,0.14754085615745394,0.15503807765473523,0.42652569726117484,0.010000000000000009,0.11425338491402826,0.15503807765473523,0.42652569726117473,0.010000000000000009,0.11425338491402823,0.1552667455721106,0.42801434665382687,0.010000000000000009,0.11450151790344928,1.0029454847724506
TSC_het,OFT-0537-00,medium,575,4.059215543191396,1.0,1.0,0.2117221119292051,0.5699567326401545,0.010000000000000009,0.12147625604887478,0.17065921524531807,0.5360562910956652,0.010000000000000009,0.11143417034105686,0.25278500861309205,0.6038571741846439,0.010000000000000009,0.1307246535977402,0.2081975671839946,0.560099769782761,0.010000000000000009,0.12026658240544465,0.20819756718399463,0.5600997697827612,0.010000000000000009,0.12026658240544465,0.2093724154323981,0.563385424068559,0.010000000000000009,0.12067432161681926,1.0112225695632082
TSC_het,OFT-0537-00,fast,576,4.8172871495195695,1.0,1.0,0.18976955904817422,0.5388781496719658,0.010000000000000009,0.08322548541892874,0.17778607215808961,0.4917131132034233,0.010000000000000009,0.10808268679066355,0.20175304593825885,0.5860431861405082,0.010000000000000009,0.06336152628727959,0.1894389094307142,0.5369659598402716,0.010000000000000009,0.08329098554091828,0.1894389094307142,0.5369659598402717,0.010000000000000009,0.08329098554091832,0.18954912596986753,0.5376033564508363,0.010000000000000009,0.08326891905609969,1.0011629337628374
TSC_het,OFT-0537-00,slow,577,3.3303345003489384,1.0,1.0,0.1812606500775685,0.5357797340759138,0.010000000000000009,0.12980132373373038,0.20135083730763964,0.5098430769365084,0.010000000000000009,0.12470343429040888,0.16117046284749742,0.5617163912153195,0.010000000000000009,0.13617054020764738,0.17877574477019598,0.5191975850350696,0.010000000000000009,0.12669011872017866,0.17877574477019595,0.5191975850350696,0.010000000000000009,0.12669011872017868,0.17960404653932016,0.5247249680486844,0.010000000000000009,0.12773669234554075,1.0092236426192416
TSC_het,OFT-0544-00,medium,578,4.219612566706211,1.0,1.0,0.17027253173904833,0.48547715136891195,0.010000000000000009,0.04384842896155119,0.17092010417091014,0.5445298624830879,0.010000000000000009,0.07457329042096496,0.16962495930718646,0.4264244402547361,0.010000000000000009,0.016013707946284993,0.17057917993200772,0.48816123208986884,0.010000000000000009,0.04501073172161396,0.17057917993200772,0.4881612320898689,0.010000000000000009,0.045010731721613954,0.17047696386768788,0.48726653851621665,0.010000000000000009,0.04462364388807275,0.9988008225627586
